Altium Designer Pick and Place Locations
D:\OneDrive\IRNAS-Common\_NEW-IRNAS-COMMON\SmartParks\SmartParks - Lion tracker\Electronics\04_OUTPUT_FILES\Lion tracker_V0_PICK & PLACE\Lion tracker_V0_PICK & PLACE.csv

========================================================================================================================
File Design Information:

Date:       27/09/19
Time:       15:31
Revision:   Not in VersionControl
Variant:    BASIC
Units used: mm

"Designator","Footprint","Center-X(mm)","Center-Y(mm)","Ref-X(mm)","Ref-Y(mm)","Pad-X(mm)","Pad-Y(mm)","Layer","Rotation","Comment"
"U14","PWSON-6","26.3000","17.6000","26.3000","17.6000","26.8000","16.9000","BottomLayer","180","BQ29700DSET"
"T6","SOT23-3AL","29.0000","14.5000","29.0000","14.5000","28.0300","13.5300","BottomLayer","360","SI2374DS-T1-GE3"
"T5","SOT23-3AL","29.0000","17.8000","29.0000","17.8000","28.0300","16.8300","BottomLayer","360","SI2374DS-T1-GE3"
"R36","RES0402","29.6000","20.2000","29.6000","20.2000","29.6000","19.7000","BottomLayer","90","2.2k"
"R35","RES0402","27.3000","20.2000","27.3000","20.2000","27.3000","19.7000","BottomLayer","90","330R"
"C45","CAP0402","28.4500","20.2000","28.4500","20.2000","28.4500","20.6800","BottomLayer","270","100nF"
"TAB3","WP-SMBU","15.0000","15.0000","15.1100","14.8500","15.0000","15.0000","TopLayer","360","WP-SMBU SMD"
"TAB1","WP-SMBU","26.2000","15.0000","26.0800","15.0700","26.2000","15.0000","TopLayer","360","WP-SMBU SMD"
"U13","SOT23-5","21.6042","25.2068","21.6042","25.2068","22.9542","24.2568","TopLayer","90","MCP73812T-420I/OT"
"U12","TDFN-8","18.8704","21.8929","18.8704","21.8929","18.1204","23.3429","BottomLayer","360","MCP16311T-E/MNY"
"T4","SOT23-3AL","20.9000","29.0000","20.9000","29.0000","19.9300","28.0300","BottomLayer","360","DMG2302UK-7"
"R34","RES0402","21.2700","30.0800","21.2700","30.0800","20.7700","30.0800","TopLayer","360","10k"
"R33","RES0402","23.3100","30.0800","23.3100","30.0800","22.8100","30.0800","TopLayer","360","165k"
"R32","RES0402","18.1000","30.0000","18.1000","30.0000","18.6000","30.0000","BottomLayer","180","100k"
"R31","RES0402","24.0600","30.2202","24.0600","30.2202","24.5600","30.2202","BottomLayer","180","100R"
"R30","RES0402","24.6750","21.1889","24.6750","21.1889","25.1750","21.1889","BottomLayer","180","10k"
"R29","RES0402","18.8342","24.7330","18.8342","24.7330","18.8342","25.2330","TopLayer","270","2k"
"R28","RES0402","24.2000","19.6000","24.2000","19.6000","24.2000","20.1000","BottomLayer","270","52.3k"
"R27","RES0402","22.9000","27.8000","22.9000","27.8000","22.9000","28.3000","BottomLayer","270","10k"
"L6","SRN5020TA","19.7604","15.9629","19.7604","15.9629","17.9604","15.9629","BottomLayer","360","SRN5020TA-220M"
"F1","FUSE0603","27.6455","30.1300","27.6455","30.1300","28.5455","30.1300","TopLayer","180","750mA"
"D4","SOD-523","21.0800","27.6500","21.7800","27.6500","21.7800","27.6500","TopLayer","180","BZX585-C15,115"
"D3","MB1S","27.3200","24.3900","27.3200","24.3900","28.5900","27.6400","TopLayer","180","MB1S"
"C44","CAP0402","21.2900","28.9500","21.2900","28.9500","20.8100","28.9500","TopLayer","360","100nF"
"C43","CAP0402","16.5000","22.9000","16.5000","22.9000","16.5000","22.4200","BottomLayer","90","1uF"
