Altium Designer Pick and Place Locations
D:\OneDrive\IRNAS-Common\_NEW-IRNAS-COMMON\SmartParks\SmartParks - Lion tracker\Electronics\LION\04_OUTPUT_FILES\Lion_Tracker_V1.2_PICK & PLACE\Lion_Tracker_V1.2_PICK & PLACE.csv

========================================================================================================================
File Design Information:

Date:       04/11/19
Time:       09:38
Revision:   Not in VersionControl
Variant:    BASIC
Units used: mm

"Designator","Footprint","Center-X(mm)","Center-Y(mm)","Ref-X(mm)","Ref-Y(mm)","Pad-X(mm)","Pad-Y(mm)","Layer","Rotation","Comment"
"U10","LGA-12","25.5000","76.8300","25.5000","76.8300","24.7500","76.0800","BottomLayer","360","LIS2DW12TR"
"C6","CAP0402","29.0100","76.1100","29.0100","76.1100","29.0100","76.5900","BottomLayer","270","100nF"
"C5","CAP0603","27.5900","76.3700","27.5900","76.3700","27.5900","75.6200","BottomLayer","90","10uF"
"A2","SR42I010-L","24.9800","86.3600","24.9800","86.3600","19.9300","82.0600","BottomLayer","180","SR42I010-L"
"TP5","TestPoint:1.2x1.2mm","25.7833","31.0700","25.7833","31.0700","25.7833","31.0700","TopLayer","90","TestPoint"
"TP4","TestPoint:1.2x1.2mm","23.7300","40.2600","23.7300","40.2600","23.7300","40.2600","TopLayer","90","TestPoint"
"TP3","TestPoint:1.2x1.2mm","13.5300","37.1000","13.5300","37.1000","13.5300","37.1000","TopLayer","90","TestPoint"
"TP2","TestPoint:1.2x1.2mm","13.5500","40.5300","13.5500","40.5300","13.5500","40.5300","TopLayer","90","TestPoint"
"A1","MPA-184","21.5347","51.9232","20.4347","50.8232","21.5347","51.9232","TopLayer","0","MPA-184 1594MHz"
"P1","BATTERY_18650_-_SMD_TAB","17.3150","46.9650","19.1500","46.9800","19.1500","11.8800","BottomLayer","180","BAT - 18650"
"C44","CAP0402","19.1300","22.5000","19.1300","22.5000","19.1300","22.0200","BottomLayer","90","100nF"
"C33","CAP0603","25.5350","53.9600","25.5350","53.9600","25.5350","54.7100","BottomLayer","270","4u7/16V"
"U1","S-LGA51","15.1600","56.9100","15.1600","56.9100","13.1600","54.9100","BottomLayer","360","Ublox ZOE-M8B"
"U14","PWSON-6","14.8000","85.7500","14.8000","85.7500","15.3000","85.0500","BottomLayer","180","BQ29700DSET"
"T6","SOT23-3AL","11.7000","83.0500","11.7000","83.0500","12.6700","84.0200","BottomLayer","180","SI2374DS-T1-GE3"
"T5","SOT23-3AL","11.7000","86.2500","11.7000","86.2500","12.6700","87.2200","BottomLayer","180","SI2374DS-T1-GE3"
"R36","RES0402","11.5000","88.3500","11.5000","88.3500","11.0000","88.3500","BottomLayer","360","2.2k"
"R35","RES0402","14.7000","89.3500","14.7000","89.3500","15.2000","89.3500","BottomLayer","180","330R"
"C45","CAP0402","14.7000","88.2500","14.7000","88.2500","14.2200","88.2500","BottomLayer","360","100nF"
"TAB3","WP-SMBU","15.0000","14.8500","15.1100","14.7000","15.0000","14.8500","TopLayer","0","WP-SMBU SMD"
"TAB1","WP-SMBU","26.2000","14.8500","26.0800","14.9200","26.2000","14.8500","TopLayer","0","WP-SMBU SMD"
"U13","SOT23-5","20.5300","46.2500","20.5300","46.2500","19.1800","45.3000","BottomLayer","90","MCP73812T-420I/OT"
"U12","TDFN-8","26.5196","39.1971","26.5196","39.1971","27.2696","37.7471","BottomLayer","180","MCP16311T-E/MNY"
"T4","SOT23-3AL","24.4900","32.0900","24.4900","32.0900","25.4600","33.0600","BottomLayer","180","DMG2302UK-7"
"R34","RES0402","20.2500","22.4900","20.2500","22.4900","20.2500","21.9900","BottomLayer","90","10k"
"R33","RES0402","20.2500","24.5100","20.2500","24.5100","20.2500","24.0100","BottomLayer","90","165k"
"R32","RES0402","27.3900","30.9500","27.3900","30.9500","27.8900","30.9500","BottomLayer","180","100k"
"R31","RES0402","27.3900","32.0500","27.3900","32.0500","27.8900","32.0500","BottomLayer","180","100R"
"R30","RES0402","20.7150","39.9011","20.7150","39.9011","20.2150","39.9011","BottomLayer","360","10k"
"R29","RES0402","21.8600","43.6100","21.8600","43.6100","21.8600","43.1100","BottomLayer","90","2k"
"R28","RES0402","21.1900","41.4900","21.1900","41.4900","21.1900","40.9900","BottomLayer","90","52.3k"
"R27","RES0402","22.4900","33.2900","22.4900","33.2900","22.4900","32.7900","BottomLayer","90","10k"
"L6","SRN5020TA","25.6300","45.3300","25.6300","45.3300","27.4300","45.3300","BottomLayer","180","SRN5020TA-220M"
"F1","FUSE0603","23.4600","27.5300","23.4600","27.5300","24.3600","27.5300","BottomLayer","180","750mA"
"D4","DO-214AC_(SMA)","22.5800","23.1000","22.5800","23.1000","22.5800","21.1350","BottomLayer","90","SMAJ28A"
"D3","MB1S","27.7500","24.2500","27.7500","24.2500","26.4800","27.5000","BottomLayer","0","MB1S"
