Change Component Footprint: Designator=R29 Old Footprint=RES0603 New Footprint=RES0402
Change component parameters: Designator = "R29" ("R29"); Footprint = "RES0603"; UniqueID = "\JCBCTWYX\PQDMIOBW" ("\JCBCTWYX\PQDMIOBW")
Change component parameters (AddParameter): Name = "Automotive Qualification Standard"; Value = "-"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink1Description"; Value = "http://www.farnell.com/datasheets/1849611.pdf"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink1URL"; Value = "http://www.farnell.com/datasheets/1849611.pdf"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "IRNAS Part No."; Value = "I-100023"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer"; Value = "MULTICOMP"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer Part Number"; Value = "MCWR06X2200FTL"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Packaging"; Value = "Cut Tape"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Power Rating"; Value = "100"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Pricing 1"; Value = "10=0.0031, 100=0.0018, 500=0.0013, 1000=0.001, 2500=0.0008 (GBP)"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Product Range"; Value = "MCWR Series"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Resistance"; Value = "220"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Resistance Tolerance"; Value = "± 1%"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Resistor Case Style"; Value = "0603 [1608 Metric]"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Resistor Element Material"; Value = "Thick Film"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "RoHS"; Value = "Y-EX"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Stock 1"; Value = "124834"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier 1"; Value = "Farnell"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier Part Number 1"; Value = "2447135"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "SVHC"; Value = "No SVHC (07-Jul-2017)<!--FANDB--><div class="features-and-benefits-container"><div class="features-and-benefits-desc-container"><span class="features-and-benefits-container-desc">SMD Chip Resistor, Thick Film, 220 ohm, 50 V, 0603 [1608 Metric], 100 mW, ± 1"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Temperature Coefficient"; Value = "± 100"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Voltage Rating"; Value = "50"; VariantName = "[No Variations]"
