Removed Pin From Net: NetName=NetR9_1 Pin=TAB1-1
Change Component Kind : Designator=P1 Old Kind=Standard New Kind=Standard (No BOM)
Change component parameters: Designator = "U2" ("U2"); Footprint = "SOIC-8 REFLOW"; UniqueID = "\JCBCTWYX\RTWKNZVR" ("\JCBCTWYX\RTWKNZVR")
Change component parameters (AddParameter): Name = "Bandwidth"; Value = "90kHz"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Case/Package"; Value = "SOT-23"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Common Mode Rejection Ratio"; Value = "90dB"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink1Description"; Value = "Datasheet"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink1URL"; Value = "http://ww1.microchip.com/downloads/en/DeviceDoc/21669D.pdf"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Gain Bandwidth Product"; Value = "90kHz"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Height"; Value = "1.15mm"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Input Bias Current"; Value = "50pA"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Input Offset Voltage (Vos)"; Value = "1.5mV"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Lead Free"; Value = "Lead Free"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Length"; Value = "2.9mm"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer"; Value = "Texas Instruments"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer Part Number"; Value = "TLV9052IDR"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Max I/O Voltage"; Value = "1.5mV"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Max Operating Temperature"; Value = "125°C"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Max Supply Voltage"; Value = "5.5V"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Min Operating Temperature"; Value = "-40°C"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Min Supply Voltage"; Value = "1.8V"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Nominal Gain Bandwidth Product"; Value = "90kHz"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Nominal Supply Current"; Value = "5.5uA"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Number of Amplifiers"; Value = "1"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Number of Channels"; Value = "1"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Number of Circuits"; Value = "1"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Number of Elements"; Value = "1"; VariantName = "[No Variations]"
