Altium Designer Pick and Place Locations
D:\Synology Drive\IRNAS-Projects\SmartParks\Smartparks - Fence monitor\Electronics\04_OUTPUT_FILES\Fence monitor_V1.1_PICK & PLACE\Fence monitor_V1.1_PICK & PLACE.csv

========================================================================================================================
File Design Information:

Date:       19/08/20
Time:       09:09
Revision:   Not in VersionControl
Variant:    Single_CH
Units used: mm

"Designator","Footprint","Center-X(mm)","Center-Y(mm)","Ref-X(mm)","Ref-Y(mm)","Pad-X(mm)","Pad-Y(mm)","Layer","Rotation","Comment"
"LOGO1","LOGO_1-10MM","-83.7318","-80.0700","22.0005","40.5998","-83.7318","-80.0700","TopLayer","90","IRNAS logo1-10mm"
"R40","RES2512","7.7623","51.9398","7.7623","51.9398","7.7623","54.6398","TopLayer","270","1M"
"R39","RES2512","13.1005","58.5998","13.1005","58.5998","15.8005","58.5998","TopLayer","180","1M"
"TAB2","WP-SMBU","10.8005","16.0998","10.8005","16.0998","10.8005","16.0998","TopLayer","180","WP-SMBU SMD"
"TAB1","WP-SMBU","21.8005","58.5898","21.8005","58.5898","21.8005","58.5898","TopLayer","180","WP-SMBU SMD"
"R10","RES2512","7.7623","34.6798","7.7623","34.6798","7.7623","37.3798","TopLayer","270","1M"
"R9","RES2512","7.7623","43.2598","7.7623","43.2598","7.7623","45.9598","TopLayer","270","1M"
"LOGO1","LOGO_1-10MM","-56.9314","-80.0700","48.8008","40.5998","-56.9314","-80.0700","TopLayer","90","IRNAS logo1-10mm"
"R40","RES2512","34.5627","51.9398","34.5627","51.9398","34.5627","54.6398","TopLayer","270","1M"
"R39","RES2512","39.9008","58.5998","39.9008","58.5998","42.6008","58.5998","TopLayer","180","1M"
"TAB2","WP-SMBU","37.6008","16.0998","37.6008","16.0998","37.6008","16.0998","TopLayer","180","WP-SMBU SMD"
"TAB1","WP-SMBU","48.6008","58.5898","48.6008","58.5898","48.6008","58.5898","TopLayer","180","WP-SMBU SMD"
"R10","RES2512","34.5627","34.6798","34.5627","34.6798","34.5627","37.3798","TopLayer","270","1M"
"R9","RES2512","34.5627","43.2598","34.5627","43.2598","34.5627","45.9598","TopLayer","270","1M"
"LOGO1","LOGO_1-10MM","-30.1311","-80.0700","75.6012","40.5998","-30.1311","-80.0700","TopLayer","90","IRNAS logo1-10mm"
"R40","RES2512","61.3630","51.9398","61.3630","51.9398","61.3630","54.6398","TopLayer","270","1M"
"R39","RES2512","66.7012","58.5998","66.7012","58.5998","69.4012","58.5998","TopLayer","180","1M"
"TAB2","WP-SMBU","64.4012","16.0998","64.4012","16.0998","64.4012","16.0998","TopLayer","180","WP-SMBU SMD"
"TAB1","WP-SMBU","75.4012","58.5898","75.4012","58.5898","75.4012","58.5898","TopLayer","180","WP-SMBU SMD"
"R10","RES2512","61.3630","34.6798","61.3630","34.6798","61.3630","37.3798","TopLayer","270","1M"
"R9","RES2512","61.3630","43.2598","61.3630","43.2598","61.3630","45.9598","TopLayer","270","1M"
"LOGO1","LOGO_1-10MM","-3.3307","-80.0700","102.4015","40.5998","-3.3307","-80.0700","TopLayer","90","IRNAS logo1-10mm"
"R40","RES2512","88.1634","51.9398","88.1634","51.9398","88.1634","54.6398","TopLayer","270","1M"
"R39","RES2512","93.5015","58.5998","93.5015","58.5998","96.2015","58.5998","TopLayer","180","1M"
"TAB2","WP-SMBU","91.2015","16.0998","91.2015","16.0998","91.2015","16.0998","TopLayer","180","WP-SMBU SMD"
"TAB1","WP-SMBU","102.2016","58.5898","102.2016","58.5898","102.2016","58.5898","TopLayer","180","WP-SMBU SMD"
"R10","RES2512","88.1634","34.6798","88.1634","34.6798","88.1634","37.3798","TopLayer","270","1M"
"R9","RES2512","88.1634","43.2598","88.1634","43.2598","88.1634","45.9598","TopLayer","270","1M"
