Altium Designer Pick and Place Locations
D:\Synology Drive\IRNAS-Projects\SmartParks\Smartparks - Fence monitor\Electronics\04_OUTPUT_FILES\Fence monitor_V1_PICK & PLACE\Fence monitor_V1_PICK & PLACE.csv

========================================================================================================================
File Design Information:

Date:       30/06/20
Time:       09:07
Revision:   Not in VersionControl
Variant:    No variations
Units used: mm

"Designator","Footprint","Center-X(mm)","Center-Y(mm)","Ref-X(mm)","Ref-Y(mm)","Pad-X(mm)","Pad-Y(mm)","Layer","Rotation","Comment"
"R38","RES0402","17.7800","18.6200","17.7800","18.6200","18.2800","18.6200","BottomLayer","180","4k7"
"R37","RES0402","17.7700","17.5400","17.7700","17.5400","18.2700","17.5400","BottomLayer","180","4k7"
"R36","RES0402","3.9867","5.5294","3.9867","5.5294","3.4867","5.5294","BottomLayer","360","100R"
"R35","RES0402","1.8167","5.5194","1.8167","5.5194","1.3167","5.5194","BottomLayer","360","100R"
"D6","LED0603","3.4867","3.3494","3.4867","3.3494","3.4867","2.5494","BottomLayer","90","LED RED"
"D5","LED0603","1.7567","3.3594","1.7567","3.3594","1.7567","2.5594","BottomLayer","90","LED RED"
"U2","SOIC-8_REFLOW","16.8167","27.6794","16.8167","27.6794","18.7217","25.0794","BottomLayer","180","TLV9052IDR"
"U1","VSSOP-10","13.4067","17.5194","13.4067","17.5194","15.6067","18.5194","BottomLayer","270","ADS1015IDGST"
"TAB2","WP-SMBU","11.4000","5.0000","11.4000","5.0000","11.4000","5.0000","TopLayer","180","WP-SMBU SMD"
"TAB1","WP-SMBU","11.4000","47.5000","11.4000","47.5000","11.4000","47.5000","TopLayer","180","WP-SMBU SMD"
"T5","SOT_23","6.2267","8.7994","6.2267","8.7994","5.2767","9.9994","BottomLayer","360","BC847B"
"T4","SOT_23","17.4967","34.5194","17.4967","34.5194","16.2967","33.5694","BottomLayer","90","BC847B"
"T3","SOT_23","2.5167","9.0193","2.5167","9.0193","3.7167","9.9694","BottomLayer","270","BC847B"
"T2","SOT_23","10.4867","21.8094","10.4867","21.8094","11.6867","22.7594","BottomLayer","270","BC847B"
"T1","VMT6","11.5667","13.3294","11.5667","13.3294","11.0667","12.8994","BottomLayer","90","VT6M1T2CR"
"R34","RES0402","14.8467","34.9594","14.8467","34.9594","14.8467","34.4594","BottomLayer","90","2R2"
"R33","RES0402","11.4567","30.8894","11.4567","30.8894","11.4567","31.3894","BottomLayer","270","47k"
"R32","RES0402","13.0067","30.4794","13.0067","30.4794","12.5067","30.4794","BottomLayer","360","22k"
"R31","RES0402","7.5067","11.3394","7.5067","11.3394","8.0067","11.3394","BottomLayer","180","100k"
"R30","RES0402","11.5967","27.1493","11.5967","27.1493","12.0967","27.1493","BottomLayer","180","150R"
"R29","RES0402","2.1567","16.7694","2.1567","16.7694","2.1567","16.2694","BottomLayer","90","220k"
"R28","RES0402","11.6067","29.3594","11.6067","29.3594","12.1067","29.3594","BottomLayer","180","47k"
"R27","RES0402","16.9367","32.1494","16.9367","32.1494","17.4367","32.1494","BottomLayer","180","10R"
"R26","RES0402","11.6067","28.2694","11.6067","28.2694","12.1067","28.2694","BottomLayer","180","47k"
"R25","RES0402","9.2900","29.1300","9.2900","29.1300","9.7900","29.1300","BottomLayer","180","11k"
"R24","RES0402","5.4767","11.3394","5.4767","11.3394","4.9767","11.3394","BottomLayer","360","220k"
"R23","RES0402","5.6567","18.7694","5.6567","18.7694","5.6567","18.2694","BottomLayer","90","100k"
"R22","RES0402","2.1567","18.7694","2.1567","18.7694","2.1567","18.2694","BottomLayer","90","100k"
"R21","RES0402","1.8167","6.6194","1.8167","6.6194","1.3167","6.6194","BottomLayer","360","100k"
"R20","RES0402","7.7300","28.6800","7.7300","28.6800","7.7300","29.1800","BottomLayer","270","11k"
"R19","RES0402","5.6567","20.7794","5.6567","20.7794","5.6567","20.2794","BottomLayer","90","100k"
"R18","RES0402","2.1567","20.7794","2.1567","20.7794","2.1567","20.2794","BottomLayer","90","100k"
"R17","RES0402","16.6467","23.0794","16.6467","23.0794","16.1467","23.0794","BottomLayer","360","47k"
"R16","RES0402","9.9967","25.6094","9.9967","25.6094","9.9967","26.1094","BottomLayer","270","22k"
"R15","RES0402","14.6367","21.9194","14.6367","21.9194","14.1367","21.9194","BottomLayer","360","2R2"
"R14","RES0402","7.2667","27.1493","7.2667","27.1493","7.7667","27.1493","BottomLayer","180","11k"
"R13","RES0402","5.6567","22.7794","5.6567","22.7794","5.6567","22.2794","BottomLayer","90","100k"
"R12","RES0402","2.1567","22.7794","2.1567","22.7794","2.1567","22.2794","BottomLayer","90","100k"
"R11","RES0402","16.6667","20.8094","16.6667","20.8094","16.1667","20.8094","BottomLayer","360","47k"
"R10","RES2512","4.1567","29.8694","4.1567","29.8694","4.1567","32.5694","BottomLayer","270","1M"
"R9","RES2512","4.1567","38.1394","4.1567","38.1394","4.1567","40.8394","BottomLayer","270","1M"
"R8","RES0402","11.1667","24.0694","11.1667","24.0694","10.6667","24.0694","BottomLayer","360","10R"
"R7","RES0402","10.0867","12.3494","10.0867","12.3494","10.0867","11.8494","BottomLayer","90","1M/0402"
"R6","RES0402","8.9867","12.3294","8.9867","12.3294","8.9867","11.8294","BottomLayer","90","100R"
"R5","RES0402","19.0200","15.1700","19.0200","15.1700","18.5200","15.1700","BottomLayer","360","100k"
"R4","RES0402","13.0767","13.3494","13.0767","13.3494","13.0767","12.8494","BottomLayer","90","100k"
