Altium Designer Pick and Place Locations
D:\OneDrive\IRNAS-Common\_NEW-IRNAS-COMMON\SmartParks\SmartParks - Lion tracker\Electronics\LION\04_OUTPUT_FILES\Lion_Tracker_V1.1_PICK & PLACE\Lion_Tracker_V1.1_PICK & PLACE.csv

========================================================================================================================
File Design Information:

Date:       17/10/19
Time:       12:06
Revision:   Not in VersionControl
Variant:    BASIC
Units used: mm

"Designator","Footprint","Center-X(mm)","Center-Y(mm)","Ref-X(mm)","Ref-Y(mm)","Pad-X(mm)","Pad-Y(mm)","Layer","Rotation","Comment"
"A1","MPA-184","21.6250","52.0400","20.5250","50.9400","21.6250","52.0400","TopLayer","360","MPA-184 1594MHz"
"P1","BATTERY_18650_-_SMD_TAB","17.3150","47.0050","19.1500","47.0200","19.1500","11.9200","BottomLayer","180","BAT - 18650"
"C44","CAP0402","19.1300","22.5400","19.1300","22.5400","19.1300","22.0600","BottomLayer","90","100nF"
"C33","CAP0603","25.5350","54.0000","25.5350","54.0000","25.5350","54.7500","BottomLayer","270","4u7/16V"
"U1","S-LGA51","15.1600","56.9500","15.1600","56.9500","13.1600","54.9500","BottomLayer","360","Ublox ZOE-M8B"
"U14","PWSON-6","14.8000","85.7900","14.8000","85.7900","15.3000","85.0900","BottomLayer","180","BQ29700DSET"
"T6","SOT23-3AL","11.7000","83.0900","11.7000","83.0900","12.6700","84.0600","BottomLayer","180","SI2374DS-T1-GE3"
"T5","SOT23-3AL","11.7000","86.2900","11.7000","86.2900","12.6700","87.2600","BottomLayer","180","SI2374DS-T1-GE3"
"R36","RES0402","11.5000","88.3900","11.5000","88.3900","11.0000","88.3900","BottomLayer","360","2.2k"
"R35","RES0402","14.7000","89.3900","14.7000","89.3900","15.2000","89.3900","BottomLayer","180","330R"
"C45","CAP0402","14.7000","88.2900","14.7000","88.2900","14.2200","88.2900","BottomLayer","360","100nF"
"TAB3","WP-SMBU","15.0000","14.8900","15.1100","14.7400","15.0000","14.8900","TopLayer","360","WP-SMBU SMD"
"TAB1","WP-SMBU","26.2000","14.8900","26.0800","14.9600","26.2000","14.8900","TopLayer","360","WP-SMBU SMD"
"U13","SOT23-5","20.5300","46.2900","20.5300","46.2900","19.1800","45.3400","BottomLayer","90","MCP73812T-420I/OT"
"U12","TDFN-8","26.5196","39.2371","26.5196","39.2371","27.2696","37.7871","BottomLayer","180","MCP16311T-E/MNY"
"T4","SOT23-3AL","24.4900","32.1300","24.4900","32.1300","25.4600","33.1000","BottomLayer","180","DMG2302UK-7"
"R34","RES0402","20.2500","22.5300","20.2500","22.5300","20.2500","22.0300","BottomLayer","90","10k"
"R33","RES0402","20.2500","24.5500","20.2500","24.5500","20.2500","24.0500","BottomLayer","90","165k"
"R32","RES0402","27.3900","30.9900","27.3900","30.9900","27.8900","30.9900","BottomLayer","180","100k"
"R31","RES0402","27.3900","32.0900","27.3900","32.0900","27.8900","32.0900","BottomLayer","180","100R"
"R30","RES0402","20.7150","39.9411","20.7150","39.9411","20.2150","39.9411","BottomLayer","360","10k"
"R29","RES0402","21.8600","43.6500","21.8600","43.6500","21.8600","43.1500","BottomLayer","90","2k"
"R28","RES0402","21.1900","41.5300","21.1900","41.5300","21.1900","41.0300","BottomLayer","90","52.3k"
"R27","RES0402","22.4900","33.3300","22.4900","33.3300","22.4900","32.8300","BottomLayer","90","10k"
"L6","SRN5020TA","25.6300","45.3700","25.6300","45.3700","27.4300","45.3700","BottomLayer","180","SRN5020TA-220M"
"F1","FUSE0603","23.4600","27.5700","23.4600","27.5700","24.3600","27.5700","BottomLayer","180","750mA"
"D4","DO-214AC_(SMA)","22.5800","23.1400","22.5800","23.1400","22.5800","21.1750","BottomLayer","90","SMAJ28A"
"D3","MB1S","27.7500","24.2900","27.7500","24.2900","26.4800","27.5400","BottomLayer","360","MB1S"
"C43","CAP0402","25.0000","29.7900","25.0000","29.7900","25.4800","29.7900","BottomLayer","180","1uF"
"C42","CAP0603","22.6696","40.9271","22.6696","40.9271","22.6696","40.1771","BottomLayer","90","10uF"
"C41","CAP0603","24.2496","40.9071","24.2496","40.9071","24.2496","40.1571","BottomLayer","90","10uF"
"C40","CAP0402","20.6100","43.6700","20.6100","43.6700","20.6100","43.1900","BottomLayer","90","1uF"
"C39","CAP0402","28.6900","41.2300","28.6900","41.2300","28.6900","40.7500","BottomLayer","90","100nF"
"C32","CAP1206","23.9096","36.9571","23.9096","36.9571","23.9096","38.5071","BottomLayer","270","10uF /50V"
"C31","CAP1206","21.4696","36.9471","21.4696","36.9471","21.4696","38.4971","BottomLayer","270","10uF /50V"
"U4","Lora_Module_ES0","21.2505","66.2319","21.0302","66.4900","28.5362","65.1713","BottomLayer","135","CMWX1ZZABZ"
"X1","9HT11","16.4067","60.0400","16.4067","60.0400","17.1067","60.0400","BottomLayer","180","9HT11-32.768KEZC-T"
"U11","LGA-12","25.5000","76.8700","25.5000","76.8700","24.7500","76.1200","BottomLayer","360","LIS2DW12TR"
"U9","SOT23-3AL","16.8600","28.2200","16.8600","28.2200","15.8900","29.1900","BottomLayer","270","DRV5032FBDBZR"
"U8","VDFN_2x2","27.4850","54.0800","27.4850","54.0800","26.7350","55.1300","BottomLayer","360","MCP1810T"
"U7","WLP-6","13.5900","42.5300","13.5900","42.5300","13.7900","42.1300","BottomLayer","90","MAX38640AENT+"
"U6","DSBGA-6","12.2900","71.8900","12.2900","71.8900","12.6900","71.6900","BottomLayer","90","LMH2110TMX"
"U5","HHM22106C1","13.1800","69.8800","13.1800","69.8800","13.6800","70.4300","BottomLayer","270","HHM22106C1"
"U3","QFN-12","16.2520","75.2903","16.2520","75.2900","15.2900","74.7900","BottomLayer","90","PE64102"
"U2","uDFN-6","14.9600","53.6400","14.9600","53.6400","15.2600","54.1400","BottomLayer","270","MAX2659"
"T3","VMT6","13.2400","75.5700","13.2400","75.5700","13.7400","76.0000","BottomLayer","270","VT6M1T2CR"
"T2","VMT6","29.4501","33.6700","29.4501","33.6700","29.0201","34.1700","BottomLayer","360","VT6M1T2CR"
"T1","SOT-563","13.5300","61.2800","13.5300","61.2800","13.0300","61.9550","BottomLayer","360","NTZD3154NT1G"
"R25","RES0402","13.1700","44.0700","13.1700","44.0700","13.6700","44.0700","BottomLayer","180","768k"
