========================================================================================================================
File Design Information:

Date:       18/11/19
Time:       11:41
Revision:  V1.3
Variant:    FULL
Units used: mm

"Designator,""Footprint"",""Center-X(mm)"",""Center-Y(mm)"",""Ref-X(mm)"",""Ref-Y(mm)"",""Pad-X(mm)"",""Pad-Y(mm)"",""Layer"",""Rotation"",""Comment"""
"Fiducal_8,""FIDUCAL"",""133.5200"",""5.1100"",""133.5200"",""5.1100"",""133.5200"",""5.1100"",""BottomLayer"",""90"",""Comment"""
"Fiducal_5,""FIDUCAL"",""12.0500"",""97.1100"",""12.0500"",""97.1100"",""12.0500"",""97.1100"",""BottomLayer"",""90"",""Comment"""
"Fiducal_7,""FIDUCAL"",""12.0500"",""5.1800"",""12.0500"",""5.1800"",""12.0500"",""5.1800"",""BottomLayer"",""90"",""Comment"""
"Fiducal_6,""FIDUCAL"",""133.0700"",""97.1400"",""133.0700"",""97.1400"",""133.0700"",""97.1400"",""BottomLayer"",""90"",""Comment"""
"Fiducal_1,""FIDUCAL"",""12.0000"",""97.1100"",""12.0000"",""97.1100"",""12.0000"",""97.1100"",""TopLayer"",""90"",""Comment"""
"Fiducal_4,""FIDUCAL"",""133.5200"",""4.9100"",""133.5200"",""4.9100"",""133.5200"",""4.9100"",""TopLayer"",""90"",""Comment"""
"Fiducal_2,""FIDUCAL"",""133.1000"",""97.1100"",""133.1000"",""97.1100"",""133.1000"",""97.1100"",""TopLayer"",""90"",""Comment"""
"Fiducal_3,""FIDUCAL"",""12.0000"",""5.1800"",""12.0000"",""5.1800"",""12.0000"",""5.1800"",""TopLayer"",""90"",""Comment"""
"U10,""LGA-12"",""26.0000"",""76.8300"",""26.0000"",""76.8300"",""25.2500"",""76.0800"",""BottomLayer"",""360"",""LIS2DW12TR"""
"C6,""CAP0402"",""29.5100"",""76.1100"",""29.5100"",""76.1100"",""29.5100"",""76.5900"",""BottomLayer"",""270"",""100nF"""
"C5,""CAP0603"",""28.0900"",""76.3700"",""28.0900"",""76.3700"",""28.0900"",""75.6200"",""BottomLayer"",""90"",""10uF"""
"A2,""SR42I010-L"",""25.8800"",""86.3600"",""25.8800"",""86.3600"",""20.8300"",""82.0600"",""BottomLayer"",""180"",""SR42I010-L"""
