Altium Designer Pick and Place Locations
D:\Synology Drive\IRNAS-Projects\SmartParks\SmartParks - Lion tracker\Electronics\LION\04_OUTPUT_FILES\Lion_Tracker_V1.4_PICK & PLACE\Lion_Tracker_V1.4_PICK & PLACE.csv

========================================================================================================================
File Design Information:

Date:       24/03/20
Time:       13:06
Revision:   cf541743ba889e7ad45d1ffd7f3943996e9aff3d
Variant:    BASIC
Units used: mm

"Designator","Footprint","Center-X(mm)","Center-Y(mm)","Ref-X(mm)","Ref-Y(mm)","Pad-X(mm)","Pad-Y(mm)","Layer","Rotation","Comment"
"Fiducal_8","FIDUCAL","133.5200","5.1100","133.5200","5.1100","133.5200","5.1100","BottomLayer","90","Comment"
"Fiducal_5","FIDUCAL","12.0500","97.1100","12.0500","97.1100","12.0500","97.1100","BottomLayer","90","Comment"
"Fiducal_7","FIDUCAL","12.0500","5.1800","12.0500","5.1800","12.0500","5.1800","BottomLayer","90","Comment"
"Fiducal_6","FIDUCAL","133.0700","97.1400","133.0700","97.1400","133.0700","97.1400","BottomLayer","90","Comment"
"Fiducal_1","FIDUCAL","12.0000","97.1100","12.0000","97.1100","12.0000","97.1100","TopLayer","90","Comment"
"Fiducal_4","FIDUCAL","133.5200","4.9100","133.5200","4.9100","133.5200","4.9100","TopLayer","90","Comment"
"Fiducal_2","FIDUCAL","133.1000","97.1100","133.1000","97.1100","133.1000","97.1100","TopLayer","90","Comment"
"Fiducal_3","FIDUCAL","12.0000","5.1800","12.0000","5.1800","12.0000","5.1800","TopLayer","90","Comment"
"R1","RES0402","14.0802","48.3898","14.0802","48.3898","14.5802","48.3898","BottomLayer","180","0R"
"R18","RES0402","28.8902","70.3398","28.8902","70.3398","28.3902","70.3398","BottomLayer","360","10k"
"U7","WLP-6","22.7000","36.1200","22.7000","36.1200","22.9000","35.7200","BottomLayer","90","MAX38640AENT+"
"C7","CAP0402","20.0902","74.6298","20.0902","74.6298","19.6102","74.6298","BottomLayer","360","3.9pF"
"U10","LGA-12","26.0000","73.8300","26.0000","73.8300","25.2500","73.0800","BottomLayer","360","LIS2DW12TR"
"C6","CAP0402","29.5100","73.1100","29.5100","73.1100","29.5100","73.5900","BottomLayer","270","100nF"
"C5","CAP0603","28.0900","73.3700","28.0900","73.3700","28.0900","72.6200","BottomLayer","90","10uF"
